id,name,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_sup_1,บริษัท ออโต้เทคนิค (ประเทศไทย) จำกัด,,,TRUE,FALSE,TRUE,,Default,FALSE,26/11 ถนนบางนา-ตราด หมู่ 7 ต.บางแก้ว ,อ.บางพลี ,,สมุทรปราการ,Thailand,02-7517087,,,,,,,
res_partner_sup_2,บริษัท บางกอก ฟาร์นาติกซ์ จำกัด,,,TRUE,FALSE,TRUE,,Default,FALSE,19/16 ซอยศูนย์วิจัย ถนนพระรามเก้า แขวงบางกะปิ,ห้วยขวาง,,กรุงเทพฯ,Thailand,02-6415844    ,,,,,,,
res_partner_sup_3,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),7 Days,,TRUE,FALSE,TRUE,,Default,FALSE,97/11 ชั้น 6 ถนนราชดำริห์ แขวงลุมพินี ,ปทุมวัน,,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_sup_4,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน) สาขาวังน้อย,7 Days,,TRUE,FALSE,TRUE,,Default,FALSE,219 หมู่ 4 ถ.พหลโนธิน ต.ลำไทร ,อ.วังน้อย,,พระนครศรีอยุธยา,Thailand,02-655-0666ต่อ4026  ,,,,,,,
res_partner_sup_5,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน) สาขาบางใหญ่,7 Days,,TRUE,FALSE,TRUE,,Default,FALSE,76/1 หมู่ 6 ตำบลบางรักพัฒนา ,บางบัวทอง,,นนทบุรี,Thailand,,,,,,,,
res_partner_sup_6,บริษัท บิล เค้าเตอร์ (ประเทศไทย) จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,128 ซ.รัชดาภิเษก 15 ถ.รัชดาภิเษก แขวงดาวคะนอง         ,ธนบุรี,,กรุงเทพฯ,Thailand,02-4760587,089-337-9999,02-878-9480,,,,,
res_partner_sup_7,บริษัท บุญยะ ออโต้ จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,2115/5-6 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ ,ห้วยขวาง,,กรุงเทพฯ,Thailand,"02-314-4719,02-319-1298 ",,02-716-601,,,,,
res_partner_sup_8,บริษัท เจริญไทยมอเตอร์เซลส์ จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,227/5 ถนนสุขุมวิท 71 แขวงพระโขนงเหนือ ,วัฒนา,,กรุงเทพฯ,Thailand,02-7110581-4,,,,,,,
res_partner_sup_9,บริษัท คอมฟอร์ม จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,20 ถนนกรุงเทพกรีฑา แขวงสะพานสูง,สะพานสูง,,กรุงเทพฯ,Thailand,02-368-2942-7 ,, 02-368-2962,,,,,
res_partner_sup_10,บริษัท ซีพี ออลล์ จำกัด (มหาชน),28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,283 ถนนสีลม แขวงสีลม ,บางรัก,,กรุงเทพฯ,Thailand,02-677-9000,,02-679-0048   ,,,,,
res_partner_sup_11,บริษัท ไดนามิค ลอจิสติกส์ จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,283 อาคารสีบุญเรือง 1 ชั้น 4 ถนนสีลม แขวงสีลม ,บางรัก,,กรุงเทพฯ,Thailand,02-648-2300,,02-679-0059,,,,,
res_partner_sup_12,บริษัท จัดหางาน เอ็กเซ็คคิวทีฟ เสิร์ช เซอร์วิสเซส จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,ชั้น 21 อาคารสีลมคอมเพล็กซ์ 191 ถ.สีลม แขวงสีลม ,บางรัก,,กรุงเทพฯ,Thailand,02-231-3940 ,,02-231-3662,,,,,
res_partner_sup_13,บริษัท เจเนอรัล อิเลคทรอนิค คอมเมอร์ซ เซอร์วิส จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,"971,973 ห้อง 9บี-9เอฟ ชั้น 9 อาคารเพรสิเด้นท์ทาวเวอร์ เพลินจิต แขวง/เขตลุมพินี",ลุมพินี,,กรุงเทพฯ,Thailand,02-656-0175,, 02-656-0195,,,,,
res_partner_sup_14,บริษัท อินเตอร์เนชั่นแนล คอมพิวติ้ง แอนด์ เน็ตเวอร์กกิ้ง จำกั ด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,102 ซอยยาสูบ ถนนวิภาวดีรังสิต แขวงลาดพร้าว ,จตุจักร,,กรุงเทพฯ,Thailand,02-272-3111,,02-272-3115,,,,,
res_partner_sup_15,บริษัท อีซูซุสยามซิตี้ จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,78 ถนนนราธิวาสราชนครินทร์ แขวงทุ่งมหาเมฆ (สาขานราธิวาสราชนครินทร์,สาทร,,กรุงเทพฯ,Thailand,02-629-6600-99  ,,,,,,,
res_partner_sup_16,บริษัท อีซูซุสงวนไทยกรุงเทพ จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,118 หมู่ 1 ถนนพระราม 2 ตำบลบางน้ำจืด ,อ.เมือง,,สมุทรสาคร,Thailand,"02-416-0320,02415-4193 ",, 02-416-0323,,,,,
res_partner_sup_17,บริษัท เค โลจิสติกส์ แอนด์ คอนซัลแตนท์ จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,"52,52/1-3 หมู่ที่ 8 ต.บางกระทึก ",อ.สามพราน,,นครปฐม,Thailand,02-888-4681-4 ,, 02-888-4680,,,,,
res_partner_sup_18,บริษัท เคียวเซร่ามิต้า (ประเทศไทย) จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,335 ถนนรัชดาภิเษก แขวงบางซื่อ,บางซื่อ,,กรุงเทพฯ,Thailand,02-586-0333,, 02-586-0278  ,,,,,
res_partner_sup_19,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,28 Days,,TRUE,FALSE,TRUE,,Default,FALSE,,,,,Thailand,,,,,,,,
res_partner_sup_20,บริษัท เมจิกเพรส จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,178 ซอยสิรินธร 7 ถนนสิรินธร แขวงบางบำหรุ,บางพลัด,,กรุงเทพฯ,Thailand,02-886-5100,,02-886-4499,,,,,
res_partner_sup_21,บริษัท มยุรี โลจิสติกส์ จำกัด,Cash,,TRUE,FALSE,TRUE,,Default,FALSE,20/12 หมู่ 1 ต.บ้านกลาง,อ.เมือง,,ปทุมธานี,Thailand,02-9796841,081-3826665,,,,,,
