id,name,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_1,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),,,TRUE,TRUE,FALSE,,Default,FALSE,97/11 ชั้น 6 ถ.ราชดำริห์ แขวงลุมพินี ,ปทุมวัน,10330,กรุงเทพฯ,Thailand,02-655-2805 ,,02-655-2802,,,,,
res_partner_cust_2,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน) (สามเสน),,,FALSE,TRUE,FALSE,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),Shipping,FALSE,219 หมู่ 4 ถ.พหลโยธิน ต.ลำไทร ,อ.วังน้อย,13170,อยุธยา,Thailand,02-655-0666 ต่อ 4026,,,,,,,
res_partner_cust_3,บริษัท ซีพีเอฟ เทรดดิ้ง จก.,,,TRUE,TRUE,FALSE,,Default,FALSE,252/115-116 อาคาร สนง.เมืองไทย-ภัทร อาคาร2 ชั้น22 ถ.รัชดาภิเษก ห้วยขวาง,ห้วยขวาง,10310,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_4,บริษัท เซ็นทรัล ฟู้ด รีเทล จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,99/9 ม.2 ถนนแจ้งวัฒนะ บางตลาด,ปากเกร็ด,11120,นนทบุรี,Thailand,02-831-7300,,,,,,,
res_partner_cust_5,บริษัท ซิตี้ มอลล์ กรุ๊ป จก.,,,TRUE,TRUE,FALSE,,Default,FALSE,622 ถ.สุขุมวิท  แขวงคลองตัน ,คลองเตย,10110,กรุงเทพฯ,Thailand,02-664-8000,,,,,,,
res_partner_cust_6,บริษัท ซีพี ออลล์ จำกัด (มหาชน),,,TRUE,TRUE,FALSE,,Default,FALSE,283 ถนนสีลม แขวงสีลม,บางรัก,10500,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_7,บริษัท ซีพี เซเว่นอีเลฟเว่น จำกัด (มหาชน),,,TRUE,TRUE,FALSE,,Default,FALSE,อาคารศรีบุญเรือง 1 เลขที่ 283 ถนนสีลม แขวงบางรัก,บางรัก,10500,กรุงเทพฯ,Thailand,02-631-0231 ต่อ 1432,,02-631-0315,,,,,
res_partner_cust_8,บริษัท สยามแฟมิลี่มาร์ค จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,1126/2 อาคารวานิช 2 ชั้น 10 ห้อง 1001A  ถ.เพชรบุรีตัดใหม่ มักกะสัน,ราชเทวี,10400,กรุงเทพฯ,Thailand,"02-254-1632-51 ต่อ 218,223",,,,,,,
res_partner_cust_9,บริษัท ฟู้ดแลนด์ ซุปเปอร์มาร์เก็ต จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,2675 ม.9 ชั้น 2 ถ.ลาดพร้าว แขวงวังทองหลาง,วังทองหลาง,10310,กรุงเทพฯ,Thailand,02-530-0220,,,,,,,
res_partner_cust_10,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,"101,101/1 ถนนรามคำแหง แขวงมีนบุรี ",มีนบุรี,10510,กรุงเทพฯ,Thailand,02-797-9000,,,,,,,
res_partner_cust_11,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด (จอมทอง),,,FALSE,TRUE,FALSE,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,Shipping,FALSE,188/1 หมู่ 4 ถนนพหลโยธิน ต.ลำไทร ,อ.วังน้อย,13170,อยุธยา,Thailand,035-214-917-9,,,,,,,
res_partner_cust_12,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด (สวนหลวง),,,FALSE,TRUE,FALSE,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,Shipping,FALSE,15/18 หมู่ 6 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลละหาร,อ.บางบัวทอง,11110,นนทบุรี,Thailand,,,,,,,,
res_partner_cust_13,บริษัท สยามแม็คโคร จำกัด (มหาชน),,,TRUE,TRUE,FALSE,,Default,FALSE,3498 ชั้น 2 ถ.ลาดพร้าว แขวงคลองจั่น ,บางกะปิ,10240,กรุงเทพฯ,Thailand,02-723-1417,,,,,,,
res_partner_cust_14,บริษัท สยามแม็คโคร จำกัด (มหาชน) (ห้วยขวาง),,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,40/8 ม.10 ถ.สายวงแหวนแยกเอกชัย-เพชรเกษม แขวงบางบอน,บางบอน,,กรุงเทพฯ,Thailand,02-416-8080,,,,,,,
res_partner_cust_15,บริษัท สยามแม็คโคร จำกัด (มหาชน) (เชียงใหม่),,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,"521,521-27 ถ.จรัญสนิทวงศ์ แขวงบางขุนศรี",บางกอกน้อย,,กรุงเทพฯ,Thailand,02-864-5714-32,,,,,,,
res_partner_cust_16,บริษัท สยามแม็คโคร จำกัด (มหาชน) (คลองสามวา),,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,1 ถ.นราธิวาสราชนครินทร์ แขวงทุ่งวัดดอน,สาทร,,กรุงเทพฯ,Thailand,02-676-0676,,02-676-1676,,,,,
res_partner_cust_17,บริษัท สยามแม็คโคร จำกัด (มหาชน) (ระยอง),,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,935/11 ถนนสามเสน แขวงถนนนครชัยศรี ,ดุสิต,,กรุงเทพฯ,Thailand,02-241-8400-8,,,,,,,
res_partner_cust_18,บริษัท สยามแม็คโคร จำกัด (มหาชน) (ดินแดง),,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,904 ถนนรามอินทรา แขวงคันนายาว ,คันนายาว,,กรุงเทพฯ,Thailand,02-540-7171,,,,,,,
res_partner_cust_19,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,,,TRUE,TRUE,FALSE,,Default,FALSE,1988/2 ถ.รามคำแหง แขวงหัวหมาก ,บางกะปิ,10240,กรุงเทพฯ,Thailand,02-310-1200,,,,,,,
res_partner_cust_20,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (บางพลี),,,FALSE,TRUE,FALSE,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,Shipping,FALSE,275 ม.1 ถ.เพชรเกษม แขวงบางแคเหนือ ,บางแค,,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_21,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (คลองสามวา),,,FALSE,TRUE,FALSE,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,Shipping,FALSE,99 ถ.รัชดาภิเษกตัดใหม่ แขวงบุคคโล ,ธนบุรี,,กรุงเทพฯ,Thailand,02-477-9090 ต่อ 109,,,,,,,
res_partner_cust_22,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (สมุทรสาคร),,,FALSE,TRUE,FALSE,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,Shipping,FALSE,3522 ถ.ลาดพร้าว แขวงคลองจั่น ,บางกะปิ,,กรุงเทพฯ,Thailand,02-734-1400-59,,,,,,,
res_partner_cust_23,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (ดินแดง),,,FALSE,TRUE,FALSE,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,Shipping,FALSE,30/39-50 ถ.งามวงศ์วาน ต.บางเขน อ.เมือง,อ.เมือง,,นนทบุรี,Thailand,02-550-0011-60,,,,,,,
res_partner_cust_24,บริษัท สยามดีซีเอ็ม จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,256 ถนนร่มเกล้า แขวงมีนบุรี,มีนบุรี,,กรุงเทพฯ,Thailand,02-919-5899,,,,,,,
res_partner_cust_25,บริษัท ซันร้อยแปด จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,631/7 ตรอกวัดจันทร์ใน แขวงบางโคล่ ,บางคอแหลม,,กรุงเทพฯ,Thailand,02-291-2104-7,,02-299-4651,,,,,
res_partner_cust_26,ร้าน กาญจนา-วงศ์คำยอด,,,TRUE,TRUE,FALSE,,Default,FALSE,132/8 ซ.วิภาวดีรังสิต11 จตุจักร,จตุจักร,10900,กรุงเทพฯ,Thailand,,084-0153944,,,,,,
res_partner_cust_27,ร้าน กีรติพาณิชย์,,,TRUE,TRUE,FALSE,,Default,FALSE,136 ซ.อุดมสุข12 บางนา ,บางนา,10110,กรุงเทพฯ,Thailand,,081-8196047,,,,,,
res_partner_cust_28,คุณ กัลญาณี  สุวรรณรอด,,,TRUE,TRUE,FALSE,,Default,FALSE,113 ม.6 ต.วัดหลวง,อ.โพนพิสัย,,หนองคาย,Thailand,,,,,,,,
res_partner_cust_29,ร้าน เจ๊ดำ,,,TRUE,TRUE,FALSE,,Default,FALSE,ที่ 322/28 การเคหะชุมชนทุ่งสองห้อง เขตหลักสี่,ดอนเมือง,10210,กรุงเทพฯ,Thailand,02-5739772,,,,,,,
res_partner_cust_30,ร้าน เซมฉัน,,,TRUE,TRUE,FALSE,,Default,FALSE,537/70 ถ.สาธุประดิษฐ์ แขวงช่องนนทรี,ยานนาวา,,กรุงเทพฯ,Thailand,02-294-4027,,,,,,,
res_partner_cust_31,ร้าน ดีดีค้าส่ง,,,TRUE,TRUE,FALSE,,Default,FALSE,135/22 ม.7 ซ.รามอินทรา39 ท่าแร้ง,บางเขน,10220,กรุงเทพฯ,Thailand,02-9731635,,,,,,,
res_partner_cust_32,ร้าน ทรัพย์ชัยเจริญ,,,TRUE,TRUE,FALSE,,Default,FALSE,760 ถ.เจริญพัฒนา บางชัน,คลองสามวา,10510,กรุงเทพฯ,Thailand,02-5401928,,,,,,,
res_partner_cust_33,ร้าน ไทยมิตรน้ำแข็ง,,,TRUE,TRUE,FALSE,,Default,FALSE,18/11-12-13 ถ.สรงประภาซอย1 สีกัน,ดอนเมือง,10210,กรุงเทพฯ,Thailand,02-9282872,,,,,,,
res_partner_cust_34,ร้าน ธนนลธ์,,,TRUE,TRUE,FALSE,,Default,FALSE,แผงลอย ตลาดพระโขนง พระโขนง ,พระโขนง,,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_35,ร้าน น้ำทิพย์,,,TRUE,TRUE,FALSE,,Default,FALSE,แผงลอย ถ.พระราม 4 แขวงคลองเตย ,คลองเตย ,10110,กรุงเทพฯ,Thailand,,,,,,,,
res_partner_cust_36,ร้าน โนรี,,,TRUE,TRUE,FALSE,,Default,FALSE,141/5 ถ.รามอินทรา แขวงอนุสาวรีย์,เขนบางเขน,10220,กรุงเทพฯ,Thailand,,081-4857746,,,,,,
res_partner_cust_37,บริษัท ปรีชาพัฒน์,,,TRUE,TRUE,FALSE,,Default,FALSE,61/154 แยก17 ซ.ลาดพร้าว41(ซ.ภาวนา) เขตจันทรเกษม,จัตุจักร,10990,กรุงเทพฯ,Thailand,,081-318-0990,,,,,,
res_partner_cust_38,ร้าน ประสงค์เจริญพาณิชย์,,,TRUE,TRUE,FALSE,,Default,FALSE,747 หมู่4 หมู่บ้านการ์เด้นโฮมเลจ  เขตลาดกระบัง,ลาดกระบัง,10520,กรุงเทพฯ,Thailand,"02-726-5669,089-897-4282",,,,,,,
res_partner_cust_39,บริษัท ปิโตรเลียมไทยคอร์ปอเรชั่น จำกัด (สาขาที่ 5),,,TRUE,TRUE,FALSE,,Default,FALSE,50/4 หมู่ 2 ถนนสาย 345 ตำบลบางคูวัด ,อำเภอเมือง,12000,ปทุมธานี,Thailand,,,,,,,,
res_partner_cust_40,ร้าน คุณเปีย ศัลย์วิวรรธน์,,,TRUE,TRUE,FALSE,,Default,FALSE,1151 ถ.เพชรบุรีตัดใหม่ แขวงมักกะสัน ,ราชเทวี,10400,กรุงเทพฯ,Thailand,02-2532617,081-8090242,,,,,,
res_partner_cust_41,ร้าน พรจำรัส,,,TRUE,TRUE,FALSE,,Default,FALSE,ที่อยู่ : 85/39 ม.4 ถ.โกสุมรวมใจ แขวงสีกัน ,ดอนเมือง,10210,กรุงเทพฯ,Thailand,,085-720-3456,,,,,,
res_partner_cust_42,ร้าน พรทิพย์,,,TRUE,TRUE,FALSE,,Default,FALSE,48/93 ตลาดวงศกร ถ.สายไหม  เขตสายไหม ,สายไหม,10220,กรุงเทพฯ,Thailand,02-994-3671,081-372-3842,,,,,,
res_partner_cust_43,ร้าน พี่พร,,,TRUE,TRUE,FALSE,,Default,FALSE,54/63 ซ.ชินเขต2/36 ทุ่งสองห้อง หลักสี่,ดอนเมือง,10210,กรุงเทพฯ,Thailand,,081-443-1747,,,,,,
res_partner_cust_44,หจก. พิพัฒน์พูลลาภ,,,TRUE,TRUE,FALSE,,Default,FALSE,310/17-18 ถ.สรงประภา4  เขตสีกัน ,ดอนเมือง,10210,กรุงเทพฯ,Thailand,02-566-1534,,,,,,,
res_partner_cust_45,บริษัท พรอมานาด โฮมเฟรชมาร์ค จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,"587,589,/7-9 ถ.รามอินทรา คันนายาว",คันนายาว,10230,กรุงเทพฯ,Thailand,02-1304210,,,,,,,
res_partner_cust_46,ร้าน พรชัย,,,TRUE,TRUE,FALSE,,Default,FALSE,23 ซ.ลาซาล24 สุขุมวิท105 บางนา ,บางนา,10260,กรุงเทพฯ,Thailand,02-749-2831,,,,,,,
res_partner_cust_47,ร้าน พรศิริ,,,TRUE,TRUE,FALSE,,Default,FALSE,586/1 ซ.ประชาสงเคราะห์ 4 ถ.ประชาสงเคราะห์ ดินแดง,ดินแดง,10400,กรุงเทพฯ,Thailand,,,,,,,,
