id,name,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,vat,branch,country_id,phone,mobile,fax,email,website,category_id,comment,shipper_ids,property_payment_term,user_id
res_partner_cust_1,บริษัท สยามแม็คโคร จำกัด (มหาชน),,,TRUE,TRUE,FALSE,,Default,FALSE,3498 ชั้น 2 ถ.ลาดพร้าว,แขวงคลองจั่น เขตบางกะปิ,10240,กรุงเทพฯ,107537000521,สำนักงานใหญ่,Thailand,02-723-1417,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_2,สาขาสาทร,,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,1 ถ.นราธิวาสราชนครินทร์,แขวงทุ่งวัดดอน เขตสาทร,10120,กรุงเทพฯ,,,Thailand,02-676-0676,,02-676-1676,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_3,สาขาบางบอน,,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,40/8 ม.10 ถ.สายวงแหวนแยกเอกชัย-เพชรเกษม,แขวงบางบอน เขตบางบอน,10150,กรุงเทพฯ,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_4,สาขาจรัญสนิทวงศ์,,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,"521,521-27 ถ.จรัญสนิทวงศ์",แขวงบางขุนศรี  เขตบางกอกน้อย,10700,กรุงเทพฯ,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_5,สาขาสามเสน,,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,935/11 ถ.สามเสน ,แขวงถนนนครชัยศรี  เขตดุสิต,10300,กรุงเทพฯ,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_6,สาขารามอินทรา,,,FALSE,TRUE,FALSE,บริษัท สยามแม็คโคร จำกัด (มหาชน),Shipping,FALSE,904 ถ.รามอินทรา,แขวงคันนายาว   เขตคันนายาว,10230,กรุงเทพฯ,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_7,บริษัท เดอะมอลล์ กรุ๊ป จำกัด ,,,TRUE,TRUE,FALSE,,Default,FALSE,144   ถ.รามคำแหง ,แขวงหัวหมาก เขตบางกะปิ,10240,กรุงเทพฯ,105523009350,สำนักงานใหญ่,Thailand,02-310-1200,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_8,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (สาขา 00005),,,TRUE,TRUE,FALSE,,Default,FALSE,30/39-50 ถ.งามวงศ์วาน,ตำบลบางเขน อำเภอเมือง,11000,นนทบุรี,,5,Thailand,02-550-0011-60,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_9,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (สาขา 00004),,,TRUE,TRUE,FALSE,,Default,FALSE,99 ถ.รัชดาภิเษก (ตากสิน-ท่าพระ),แขวงบุคคโล  เขตธนบุรี,10600,กรุงเทพฯ,,4,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_10,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (สาขา 00006),,,TRUE,TRUE,FALSE,,Default,FALSE,518  ถ.เพชรเกษม,แขวงบางแคเหนือ เขตบางแค,10160,กรุงเทพฯ,,6,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_11,บริษัท เดอะมอลล์ กรุ๊ป จำกัด (สาขา 00007),,,TRUE,TRUE,FALSE,,Default,FALSE,3522 ถ.ลาดพร้าว,แขวงคลองจั่น เขตบางกะปิ,10240,กรุงเทพฯ,,7,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_12,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,TRUE,TRUE,TRUE,,Default,FALSE,629/1 ถ.นวมินทร์,แขวงนวลจันทร์ เขตบึงกุ่ม,10230,กรุงเทพฯ,105536092641,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_13,สาขาวังน้อย,,,FALSE,TRUE,FALSE,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,Shipping,FALSE,188/1 หมู่ 4 ถ.พหลโยธิน ,ตำบลลำไทร  อำเภอวังน้อย,13170,อยุธยา,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_14,สาขาบางบัวทอง,,,FALSE,TRUE,FALSE,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,Shipping,FALSE,15/18 หมู่ 6 ถ.ตลิ่งชัน-สุพรรณบุรี ,ตำบลละหาร อำเภอบางบัวทอง,11110,นนทบุรี,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_15,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),,,TRUE,TRUE,TRUE,,Default,FALSE,97/11 ชั้น 6 ถ.ราชดำริห์,แขวงลุมพินี  เขตปทุมวัน,10330,กรุงเทพฯ,107536000633,สำนักงานใหญ่,Thailand,02-5950010-5,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_16,สาขาวังน้อย,,,FALSE,TRUE,TRUE,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),Shipping,FALSE,219 หมู่ 4 ถ.พหลโยธิน,ตำบลลำไทร  อำเภอวังน้อย,13170,อยุธยา,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_17,สาขาบางใหญ่,,,FALSE,TRUE,TRUE,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),Shipping,FALSE,76/1 หมู่ 6,ตำบลบางรักพัฒนา อำเภอบางบัวทอง,11110,นนทบุรี,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_18,สาขาธัญบุรี,,,FALSE,TRUE,TRUE,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),Shipping,FALSE,28 หมู่ 3,ตำบลคลองหก อำเภอคลองหลวง,12120,ปทุมธานี,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_19,บริษัท ซีพี ออลล์ จำกัด (มหาชน),,,TRUE,TRUE,TRUE,,Default,FALSE,283 ถ.สีลม,แขวงสีลม เขตบางรัก,10500,กรุงเทพฯ,107542000011,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_20,บริษัท ไดนามิค ลอจิสติกส์ จำกัด (คลังบางบัวทอง),,,FALSE,TRUE,TRUE,บริษัท ซีพี ออลล์ จำกัด (มหาชน),Shipping,FALSE,333/4-5 หมู่ 9,ตำบลละหาร อำเภอบางบัวทอง,11110,นนทบุรี,,,Thailand,,,,,,Modern Trade,,Company Car,,ยุวดี ลิ่มอักษรกุล
res_partner_cust_21,สาขามหาชัย,,,FALSE,TRUE,FALSE,บริษัท ซีพี ออลล์ จำกัด (มหาชน),Shipping,FALSE,-,,,,,,Thailand,,,,,,,,,,
res_partner_cust_22,สาขาลาดกระบัง,,,FALSE,TRUE,FALSE,บริษัท ซีพี ออลล์ จำกัด (มหาชน),Shipping,FALSE,-,,,,,,Thailand,,,,,,,,,,
res_partner_cust_23,สาขาบางบัวทอง,,,FALSE,TRUE,FALSE,บริษัท ซีพี ออลล์ จำกัด (มหาชน),Shipping,FALSE,-,,,,,,Thailand,,,,,,,,,,
res_partner_cust_24,บริษัท เซ็นทรัล ฟู้ด รีเทล จำกัด  สาขาดีซี สาขาที่ 00047,,,TRUE,TRUE,TRUE,,Default,FALSE,70 หมู่ 6,ตำบลละหาร อำเภอบางบัวทอง,11110,นนทบุรี,105535134278,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_25,บริษัท ซิตี้มอลล์กรุ๊ป  จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,622 ถ.สุขุมวิท,แขวงคลองเตย  เขตคลองเตย,10110,กรุงเทพฯ,105540016253,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_26,บริษัท ซันร้อยแปด จำกัด สาขาที่ 00035,,,TRUE,TRUE,FALSE,,Default,FALSE,631/7 ตรอกวัดจันทร์ใน,แขวงบางโคล่  เขตบางคอแหลม,10120,กรุงเทพฯ,105518007298,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,3 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_27,บริษัท สยามดีซีเอ็ม  จำกัด,,,TRUE,TRUE,TRUE,,Default,FALSE,256 ถ.ร่มเกล้า,แขวงมีนบุรี  เขตมีนบุรี,10510,กรุงเทพฯ,105547016801,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_28,บริษัท ซีพีเอฟ เทรดดิ้ง จำกัด,,,TRUE,TRUE,TRUE,,Default,FALSE,252/115-116 อาคารสำนักงานเมืองไทย-ภัทร อาคาร2 ชั้น22  ถ.รัชดาภิเษก,แขวงห้วยขวาง  เขตห้วยขวาง,10310,กรุงเทพฯ,105543112865,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,7 Days,ยุวดี ลิ่มอักษรกุล
res_partner_cust_29,บริษัท ฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด สาขาที่ 00007,,,TRUE,TRUE,FALSE,,Default,FALSE,2675 ชั้น 2 ถ.ลาดพร้าว,แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง,10310,กรุงเทพฯ,105515004549,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_30,บริษัท ปิโตรเลียมไทยคอร์ปอเรชั่น  จำกัด (สาขาที่00015),,,TRUE,TRUE,FALSE,,Default,FALSE,อาคารไซเบอร์เวิร์ลด ทาวเวอร์ เอ ชั้น33 เลขที่90 ถ.รัชดาภิเษก,แขวงห้วยขวาง  เขตห้วยขวาง,10310,กรุงเทพฯ,105535099511,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Company Car,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_31,บริษัท วิลล่า มาร์เก็ต เจ พี จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,"591/1,4-7 ถ.สุขุมวิท ",แขวงคลองตันเหนือ เขตวัฒนา,10110,กรุงเทพฯ,105531013646,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_32,บริษัท สยามพารากอน รีเทล จำกัด,,,TRUE,TRUE,FALSE,,Default,FALSE,991/1 ถ.พระราม1 ,แขวงปทุมวัน  เขตปทุมวัน,10330,กรุงเทพฯ,105544113032,สำนักงานใหญ่,Thailand,,,,,,Modern Trade,,Self Picking,Cash,ยุวดี ลิ่มอักษรกุล
res_partner_cust_33,ร้าน กาญจนา-วงศ์คำยอด,,,TRUE,TRUE,FALSE,,Default,FALSE,132/8 ซ.วิภาวดีรังสิต11 ,แขวงจัตุจักร  เขตจัตุจักร,10900,กรุงเทพฯ,,สำนักงานใหญ่,Thailand,,084-015-3944,,,,Traditional Trade,,Company Car,Cash,ศักดิ์ชาย พิทักษ์วงษ์
res_partner_cust_34,ร้าน กีรติพาณิชย์,,,TRUE,TRUE,FALSE,,Default,FALSE,136 ซ.อุดมสุข12 ,แขวงบางนา  เขตบางนา,10260,กรุงเทพฯ,,สำนักงานใหญ่,Thailand,,081-819-6047,,,,Traditional Trade,,Company Car,Cash,สาโรจน์  สภาสกุลวนิช
res_partner_cust_35,ร้าน เจ๊ดำ,,,TRUE,TRUE,FALSE,,Default,FALSE,322/28 การเคหะชุมชนทุ่งสองห้อง,แขวงทุ่งสองห้อง  เขตหลักสี่,10210,กรุงเทพฯ,,สำนักงานใหญ่,Thailand,02-573-9772,,,,,Traditional Trade,,Company Car,Cash,ศักดิ์ชาย พิทักษ์วงษ์
res_partner_cust_36,ร้าน เซมฉัน,,,TRUE,TRUE,FALSE,,Default,FALSE,537/70 ถ.สาธุประดิษฐ์,แขวงช่องนนทรี  เขตยานนาวา,10120,กรุงเทพฯ,,สำนักงานใหญ่,Thailand,หน้าร้าน,,,,,Traditional Trade,,Company Car,Cash,ยุวดี ลิ่มอักษรกุล
