id,ref,date,period_id,journal_id,line_id/name,line_id/partner_id,line_id/account_id,line_id/date_maturity,line_id/debit,line_id/credit,line_id/amount_currency,line_id/currency_id,line_id/account_tax_id,line_id/tax_amount
account_move_open_2,Balance as of 31 May 2014,2014-06-01,06/2014,Opening Entries Journal,Balance as of 31 May 2014,,1111-10,,40000,,,,,
,,,,,Balance as of 31 May 2014,,1111-20,,5436,,,,,
,,,,,Balance as of 31 May 2014,,1112-01,,403519.63,,,,,
,,,,,Balance as of 31 May 2014,,1112-03,,17039.48,,,,,
,,,,,Balance as of 31 May 2014,,1113-01,,351116625.89,,,,,
,,,,,Balance as of 31 May 2014,,1113-02,,38014.88,,,,,
,,,,,Balance as of 31 May 2014,,1113-03,,1064.15,,,,,
,,,,,Balance as of 31 May 2014,,1113-04,,3433,,,,,
,,,,,Balance as of 31 May 2014,,1113-05,,1752.1,,,,,
,,,,,Balance as of 31 May 2014,,9999-99,,167174875,,,,,
,,,,,"BF 31/05/14, IV57-05-3019 Inv.Date 30/05/57",บริษัท บีบี ซุปเปอร์สโตร์  จำกัด,1130-01,,472250,,,,,
,,,,,"BF 31/05/14, IV57-05-3020 Inv.Date 30/05/58",บริษัท บางบอน ซูปเปอร์เซ็นเตอร์ จำกัด,1130-01,,236125,,,,,
,,,,,Balance as of 31 May 2014,,1140-02,,108616204.5,,,,,
,,,,,Balance as of 31 May 2014,,1151-02,,109620.26,,,,,
,,,,,Balance as of 31 May 2014,,1151-04,,112289.72,,,,,
,,,,,Balance as of 31 May 2014,,1151-05,,164787.94,,,,,
,,,,,Balance as of 31 May 2014,,1153-01,,3862857.55,,,,,
,,,,,Balance as of 31 May 2014,,1154-00,,,,,,,
,,,,,Balance as of 31 May 2014,,1210-00,,9000000,,,,,
,,,,,Balance as of 31 May 2014,,1210-01,,5527856.68,,,,,
,,,,,Balance as of 31 May 2014,,1210-02,,48259110,,,,,
,,,,,Balance as of 31 May 2014,,1410-02,,95200,,,,,
,,,,,Balance as of 31 May 2014,,1410-03,,42400,,,,,
